Item1   Comp FAIL! error percent: 439.483597%, golden result: -2575.526855, dut result: 8743.491211
Item1   Comp FAIL! error percent: 994.653609%, golden result: 287.879700, dut result: -2575.526123
Item1   Comp FAIL! error percent: 94.499035%, golden result: 5233.254883, dut result: 287.879517
Item1   Comp FAIL! error percent: 57.122095%, golden result: 12205.009766, dut result: 5233.252441
Item1   Comp FAIL! error percent: 260.557087%, golden result: -7601.660645, dut result: 12205.004883
Item1   Comp FAIL! error percent: 118.082964%, golden result: -10462.073242, dut result: 1891.852905
Item1   Comp FAIL! error percent: 26.116559%, golden result: 1008.875549, dut result: 1272.359131
Item1   Comp FAIL! error percent: 55.415356%, golden result: 8731.968750, dut result: 13570.820313
Item1   Comp FAIL! error percent: 205.224470%, golden result: -17818.417969, dut result: 18749.335938
Item1   Comp FAIL! error percent: 141.298451%, golden result: -18979.154297, dut result: 7838.096680
Item1   Comp FAIL! error percent: 180.791173%, golden result: -12854.533203, dut result: 10385.328125
Item1   Comp FAIL! error percent: 4274.565511%, golden result: 442.940552, dut result: 19376.724609
Item1   Comp FAIL! error percent: 2180830.664063%, golden result: 1.000000, dut result: 21809.306641
Item1   Comp FAIL! error percent: 1398685.644531%, golden result: 1.000000, dut result: 13987.856445
Item1   Comp FAIL! error percent: 1640168.945313%, golden result: 1.000000, dut result: 16402.689453
Item1   Comp FAIL! error percent: 2506244.726563%, golden result: 1.000000, dut result: 25063.447266
Item1   Comp FAIL! error percent: 41889.331055%, golden result: 1.000000, dut result: -417.893311
Item1   Comp FAIL! error percent: 760265.869141%, golden result: 1.000000, dut result: -7601.658691
Item1   Comp FAIL! error percent: 1046307.031250%, golden result: 1.000000, dut result: -10462.070313
Item1   Comp FAIL! error percent: 100787.548828%, golden result: 1.000000, dut result: 1008.875488
Item1   Comp FAIL! error percent: 873096.582031%, golden result: 1.000000, dut result: 8731.965820
Item1   Comp FAIL! error percent: 270534.790039%, golden result: 1.000000, dut result: -2704.347900
Item1   Comp FAIL! error percent: 240116.528320%, golden result: 1.000000, dut result: -2400.165283
Item1   Comp FAIL! error percent: 573582.861328%, golden result: 1.000000, dut result: 5736.828613
Item1   Comp FAIL! error percent: 1728272.460938%, golden result: 1.000000, dut result: 17283.724609
Item1   Comp FAIL! error percent: 642106.103516%, golden result: 1.000000, dut result: 6422.061035
Item1   Comp FAIL! error percent: 398471.972656%, golden result: 1.000000, dut result: 3985.719727
Item1   Comp FAIL! error percent: 1342937.402344%, golden result: 1.000000, dut result: 13430.374023
Item1   Comp FAIL! error percent: 2239548.242188%, golden result: 1.000000, dut result: 22396.482422
Item1   Comp FAIL! error percent: 1080408.496094%, golden result: 1.000000, dut result: 10805.084961
Item1   Comp FAIL! error percent: 964631.835938%, golden result: 1.000000, dut result: 9647.318359
Item1   Comp FAIL! error percent: 1524095.214844%, golden result: 1.000000, dut result: 15241.952148
Item1   Comp FAIL! error percent: 674457.617188%, golden result: 1.000000, dut result: -6743.576172
Item1   Comp FAIL! error percent: 1781941.015625%, golden result: 1.000000, dut result: -17818.410156
Item1   Comp FAIL! error percent: 1898014.648438%, golden result: 1.000000, dut result: -18979.146484
Item1   Comp FAIL! error percent: 1285552.832031%, golden result: 1.000000, dut result: -12854.528320
Item1   Comp FAIL! error percent: 44194.061279%, golden result: 1.000000, dut result: 442.940613
Item1   Comp FAIL! error percent: 841233.691406%, golden result: 1.000000, dut result: -8411.336914
Item1   Comp FAIL! error percent: 1212526.269531%, golden result: 1.000000, dut result: -12124.262695
Item1   Comp FAIL! error percent: 388284.399414%, golden result: 1.000000, dut result: -3881.843994
Item1   Comp FAIL! error percent: 938339.257813%, golden result: 1.000000, dut result: 9384.392578
Item1   Comp FAIL! error percent: 81135.107422%, golden result: 1.000000, dut result: -810.351074
Item1   Comp FAIL! error percent: 542763.085938%, golden result: 1.000000, dut result: -5426.630859
Item1   Comp FAIL! error percent: 196091.088867%, golden result: 1.000000, dut result: -1959.910889
Item1   Comp FAIL! error percent: 1303504.296875%, golden result: 1.000000, dut result: 13036.042969
Item1   Comp FAIL! error percent: 262044.946289%, golden result: 1.000000, dut result: 2621.449463
Item1   Comp FAIL! error percent: 544608.544922%, golden result: 1.000000, dut result: -5445.085449
Item1   Comp FAIL! error percent: 96221.777344%, golden result: 1.000000, dut result: -961.217773
