Item0   Comp FAIL! error percent: 45.263158%, golden result: 95.000000, dut result: 138.000000
Item1   Comp FAIL! error percent: 6.818182%, golden result: 132.000000, dut result: 141.000000
Item0   Comp Pass! error percent: 1.098901%, golden result: 91.000000, dut result: 90.000000
Item1   Comp FAIL! error percent: 59.659091%, golden result: 176.000000, dut result: 71.000000
Item0   Comp FAIL! error percent: 13200.000000%, golden result: 1.000000, dut result: 133.000000
Item1   Comp FAIL! error percent: 18200.000000%, golden result: 1.000000, dut result: 183.000000
Item0   Comp FAIL! error percent: 9400.000000%, golden result: 1.000000, dut result: 95.000000
Item1   Comp FAIL! error percent: 13100.000000%, golden result: 1.000000, dut result: 132.000000
Item0   Comp FAIL! error percent: 12000.000000%, golden result: 1.000000, dut result: 121.000000
Item1   Comp FAIL! error percent: 17800.000000%, golden result: 1.000000, dut result: 179.000000
Item0   Comp FAIL! error percent: 9000.000000%, golden result: 1.000000, dut result: 91.000000
Item1   Comp FAIL! error percent: 17500.000000%, golden result: 1.000000, dut result: 176.000000
Item0   Comp FAIL! error percent: 9100.000000%, golden result: 1.000000, dut result: 92.000000
Item1   Comp FAIL! error percent: 13100.000000%, golden result: 1.000000, dut result: 132.000000
Item0   Comp FAIL! error percent: 9600.000000%, golden result: 1.000000, dut result: 97.000000
Item1   Comp FAIL! error percent: 8400.000000%, golden result: 1.000000, dut result: 85.000000
