Item0   error percent: 45.263158%, golden result: 42be0000, dut result: 430a0000
Item1   error percent: 6.818182%, golden result: 43040000, dut result: 430d0000
Item0   error percent: 1.098901%, golden result: 42b60000, dut result: 42b40000
Item1   error percent: 59.659091%, golden result: 43300000, dut result: 428e0000
Item0   error percent: 13200.000000%, golden result: xxxxxxxx, dut result: 43050000
Item1   error percent: 18200.000000%, golden result: xxxxxxxx, dut result: 43370000
Item0   error percent: 9400.000000%, golden result: xxxxxxxx, dut result: 42be0000
Item1   error percent: 13100.000000%, golden result: xxxxxxxx, dut result: 43040000
Item0   error percent: 12000.000000%, golden result: xxxxxxxx, dut result: 42f20000
Item1   error percent: 17800.000000%, golden result: xxxxxxxx, dut result: 43330000
Item0   error percent: 9000.000000%, golden result: xxxxxxxx, dut result: 42b60000
Item1   error percent: 17500.000000%, golden result: xxxxxxxx, dut result: 43300000
Item0   error percent: 9100.000000%, golden result: xxxxxxxx, dut result: 42b80000
Item1   error percent: 13100.000000%, golden result: xxxxxxxx, dut result: 43040000
Item0   error percent: 9600.000000%, golden result: xxxxxxxx, dut result: 42c20000
Item1   error percent: 8400.000000%, golden result: xxxxxxxx, dut result: 42aa0000
