Item0   error percent: 86.263736%, golden result: 43360000, dut result: 41c80000
Item1   error percent: 67.948718%, golden result: 429c0000, dut result: 41c80000
Item0   error percent: 96.240602%, golden result: 43050000, dut result: 40a00000
Item1   error percent: 77.611940%, golden result: 43060000, dut result: 41f00000
Item0   error percent: 38.931298%, golden result: 43030000, dut result: 42a00000
Item1   error percent: 58.333333%, golden result: 42a80000, dut result: 420c0000
Item0   error percent: 57.894737%, golden result: 42be0000, dut result: 42200000
Item1   error percent: 94.285714%, golden result: 432f0000, dut result: 41200000
Item0   error percent: 52.229299%, golden result: 431d0000, dut result: 42960000
Item1   error percent: 40.677966%, golden result: 42ec0000, dut result: 428c0000
Item0   error percent: 27.710843%, golden result: 43260000, dut result: 42f00000
Item1   error percent: 13.333333%, golden result: 42f00000, dut result: 42d00000
Item0   error percent: 72.826087%, golden result: 43380000, dut result: 42480000
Item1   error percent: 13.178295%, golden result: 43010000, dut result: 42e00000
Item0   error percent: 40.131579%, golden result: 43180000, dut result: 42b60000
Item1   error percent: 31.250000%, golden result: 42e00000, dut result: 429a0000
Item0   error percent: 98.095238%, golden result: 42d20000, dut result: 43500000
Item1   error percent: 39.189189%, golden result: 43140000, dut result: 42b40000
Item0   error percent: 16.279070%, golden result: 432c0000, dut result: 43100000
Item1   error percent: 36.764706%, golden result: 434c0000, dut result: 43010000
Item0   error percent: 2.362205%, golden result: 42fe0000, dut result: 42f80000
Item1   error percent: 6.923077%, golden result: 43020000, dut result: 430b0000
Item0   error percent: 7.471264%, golden result: 432e0000, dut result: 43210000
Item1   error percent: 34.459459%, golden result: 43140000, dut result: 42c20000
Item0   error percent: 25.862069%, golden result: 42e80000, dut result: 43120000
Item1   error percent: 13.793103%, golden result: 432e0000, dut result: 43160000
Item0   error percent: 6.622517%, golden result: 43170000, dut result: 430d0000
Item1   error percent: 57.017544%, golden result: 42e40000, dut result: 43330000
Item0   error percent: 19.496855%, golden result: 431f0000, dut result: 433e0000
Item1   error percent: 36.516854%, golden result: 43320000, dut result: 42e20000
Item0   error percent: 11.564626%, golden result: 43130000, dut result: 43240000
Item1   error percent: 33.333333%, golden result: 42e40000, dut result: 43180000
Item0   error percent: 51.530612%, golden result: 43440000, dut result: 42be0000
Item1   error percent: 70.000000%, golden result: 430c0000, dut result: 436e0000
Item0   error percent: 5.714286%, golden result: 432f0000, dut result: 43390000
Item1   error percent: 46.060606%, golden result: 43250000, dut result: 42b20000
Item0   error percent: 0.671141%, golden result: 43150000, dut result: 43140000
Item1   error percent: 35.185185%, golden result: 43220000, dut result: 42d20000
Item0   error percent: 8.074534%, golden result: 43210000, dut result: 432e0000
Item1   error percent: 5.194805%, golden result: 431a0000, dut result: 43220000
Item0   error percent: 49.107143%, golden result: 42e00000, dut result: 43270000
Item1   error percent: 65.346535%, golden result: 434a0000, dut result: 428c0000
Item0   error percent: 55.769231%, golden result: 43500000, dut result: 42b80000
Item1   error percent: 1.226994%, golden result: 43230000, dut result: 43210000
Item0   error percent: 38.709677%, golden result: 431b0000, dut result: 42be0000
Item1   error percent: 11.170213%, golden result: 433c0000, dut result: 43270000
Item0   error percent: 10.784314%, golden result: 434c0000, dut result: 43360000
Item1   error percent: 43.884892%, golden result: 430b0000, dut result: 429c0000
Item0   error percent: 13200.000000%, golden result: xxxxxxxx, dut result: 43050000
Item1   error percent: 13300.000000%, golden result: xxxxxxxx, dut result: 43060000
Item0   error percent: 19600.000000%, golden result: xxxxxxxx, dut result: 43450000
Item1   error percent: 13700.000000%, golden result: xxxxxxxx, dut result: 430a0000
Item0   error percent: 13000.000000%, golden result: xxxxxxxx, dut result: 43030000
Item1   error percent: 8300.000000%, golden result: xxxxxxxx, dut result: 42a80000
Item0   error percent: 9400.000000%, golden result: xxxxxxxx, dut result: 42be0000
Item1   error percent: 17400.000000%, golden result: xxxxxxxx, dut result: 432f0000
Item0   error percent: 12000.000000%, golden result: xxxxxxxx, dut result: 42f20000
Item1   error percent: 18600.000000%, golden result: xxxxxxxx, dut result: 433b0000
Item0   error percent: 15600.000000%, golden result: xxxxxxxx, dut result: 431d0000
Item1   error percent: 11700.000000%, golden result: xxxxxxxx, dut result: 42ec0000
Item0   error percent: 16500.000000%, golden result: xxxxxxxx, dut result: 43260000
Item1   error percent: 11900.000000%, golden result: xxxxxxxx, dut result: 42f00000
Item0   error percent: 12600.000000%, golden result: xxxxxxxx, dut result: 42fe0000
Item1   error percent: 22200.000000%, golden result: xxxxxxxx, dut result: 435f0000
Item0   error percent: 18300.000000%, golden result: xxxxxxxx, dut result: 43380000
Item1   error percent: 12800.000000%, golden result: xxxxxxxx, dut result: 43010000
Item0   error percent: 15100.000000%, golden result: xxxxxxxx, dut result: 43180000
Item1   error percent: 11100.000000%, golden result: xxxxxxxx, dut result: 42e00000
Item0   error percent: 17600.000000%, golden result: xxxxxxxx, dut result: 43310000
Item1   error percent: 19900.000000%, golden result: xxxxxxxx, dut result: 43480000
Item0   error percent: 15900.000000%, golden result: xxxxxxxx, dut result: 43200000
Item1   error percent: 15500.000000%, golden result: xxxxxxxx, dut result: 431c0000
Item0   error percent: 11800.000000%, golden result: xxxxxxxx, dut result: 42ee0000
Item1   error percent: 15600.000000%, golden result: xxxxxxxx, dut result: 431d0000
Item0   error percent: 12500.000000%, golden result: xxxxxxxx, dut result: 42fc0000
Item1   error percent: 16800.000000%, golden result: xxxxxxxx, dut result: 43290000
Item0   error percent: 13600.000000%, golden result: xxxxxxxx, dut result: 43090000
Item1   error percent: 17200.000000%, golden result: xxxxxxxx, dut result: 432d0000
Item0   error percent: 15100.000000%, golden result: xxxxxxxx, dut result: 43180000
Item1   error percent: 16000.000000%, golden result: xxxxxxxx, dut result: 43210000
